rfq_id,similar_rfq_id,rank,similarity
b64d3856-e630-4fa6-b5f7-d02e900e510e,140d30f7-f16d-4455-a448-516ab6616812,1,0.2980392156862745
b64d3856-e630-4fa6-b5f7-d02e900e510e,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,2,0.2980392156862745
b64d3856-e630-4fa6-b5f7-d02e900e510e,84be5122-71d5-4a35-a912-fd2911e3c64f,3,0.29791666666666666
761b9fc9-1000-476c-bebe-6c40dd431b1c,84be5122-71d5-4a35-a912-fd2911e3c64f,1,0.3
761b9fc9-1000-476c-bebe-6c40dd431b1c,0f595b0b-2253-4585-a672-fda592da7191,2,0.3
761b9fc9-1000-476c-bebe-6c40dd431b1c,facd942d-02a2-46bf-936c-e3afd39ee20d,3,0.3
bab67e88-be02-40c9-b3d7-b43a4adff716,e46aa804-164c-4907-a7ca-07a99d66d1b6,1,0.3
bab67e88-be02-40c9-b3d7-b43a4adff716,094422ce-696c-482d-9927-c3cfbf347f7a,2,0.3
bab67e88-be02-40c9-b3d7-b43a4adff716,b8257184-6307-46ab-b06e-d979336d1263,3,0.28538461538461535
5190b002-36f4-497b-b1aa-856762facb07,11cffc57-44be-4d79-bfd5-97482be566d3,1,0.265530303030303
5190b002-36f4-497b-b1aa-856762facb07,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,2,0.265530303030303
5190b002-36f4-497b-b1aa-856762facb07,df6085e7-42f9-4ce3-92b0-3a7a24159a61,3,0.265530303030303
8cc82a77-7371-4839-bca3-86f8d3ea627a,920dcf5c-136f-4ffc-9449-03f00c1b5a46,1,0.3
8cc82a77-7371-4839-bca3-86f8d3ea627a,a462a4cb-bbaa-4417-b876-4b8606c6f8db,2,0.3
8cc82a77-7371-4839-bca3-86f8d3ea627a,7729084d-fc2d-41d8-a8df-891da74078f1,3,0.3
e42b147c-89f1-46de-b56e-0f201d709601,920dcf5c-136f-4ffc-9449-03f00c1b5a46,1,0.3
e42b147c-89f1-46de-b56e-0f201d709601,a462a4cb-bbaa-4417-b876-4b8606c6f8db,2,0.3
e42b147c-89f1-46de-b56e-0f201d709601,7729084d-fc2d-41d8-a8df-891da74078f1,3,0.3
269d6f1b-faa1-4fae-ab15-e71211c94cff,8aff426d-b8c0-43aa-ad26-835ef4de6129,1,
269d6f1b-faa1-4fae-ab15-e71211c94cff,37e624be-b125-464f-85b6-1838530193ef,2,
269d6f1b-faa1-4fae-ab15-e71211c94cff,b8257184-6307-46ab-b06e-d979336d1263,3,
9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,8aff426d-b8c0-43aa-ad26-835ef4de6129,1,
9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,37e624be-b125-464f-85b6-1838530193ef,2,
9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,b8257184-6307-46ab-b06e-d979336d1263,3,
795c1324-5586-4057-8c6a-574755248aa2,de734972-0ed4-47d2-85ed-94c639524ef3,1,0.3
795c1324-5586-4057-8c6a-574755248aa2,3fe05d73-7de1-4c32-ad94-991ff0ad4290,2,0.3
795c1324-5586-4057-8c6a-574755248aa2,28b82b56-298a-4050-ad03-47dab37e4d2e,3,0.3
724a7dd7-d80d-4320-86c7-b8a879bb619d,ee5c62d7-b0f9-4818-8698-425ffdcdb11a,1,0.3
724a7dd7-d80d-4320-86c7-b8a879bb619d,2c6d632d-9a47-4dae-9bc1-6e41b40eca3f,2,0.3
724a7dd7-d80d-4320-86c7-b8a879bb619d,7d4938ac-745b-4ddc-a0bc-e2f8535411b8,3,0.3
4547058c-19a5-459c-96e7-5c4cfa7f2568,3c938716-3889-4d73-bb45-d4586b1a44b1,1,0.3
4547058c-19a5-459c-96e7-5c4cfa7f2568,9a26d7df-1335-45d4-97cd-6d7459fb2674,2,0.27999999999999997
4547058c-19a5-459c-96e7-5c4cfa7f2568,5190b002-36f4-497b-b1aa-856762facb07,3,0.27738095238095234
12779ba3-969c-48dc-97d8-33e72279f695,63140d1f-dda8-40fe-8931-bcaba65d5772,1,0.3
12779ba3-969c-48dc-97d8-33e72279f695,11cffc57-44be-4d79-bfd5-97482be566d3,2,0.3
12779ba3-969c-48dc-97d8-33e72279f695,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,3,0.3
4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,5190b002-36f4-497b-b1aa-856762facb07,1,0.3
4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,63140d1f-dda8-40fe-8931-bcaba65d5772,2,0.265530303030303
4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,11cffc57-44be-4d79-bfd5-97482be566d3,3,0.265530303030303
4d565122-229a-4541-8a53-3b18169c3635,84be5122-71d5-4a35-a912-fd2911e3c64f,1,0.3
4d565122-229a-4541-8a53-3b18169c3635,0f595b0b-2253-4585-a672-fda592da7191,2,0.3
4d565122-229a-4541-8a53-3b18169c3635,facd942d-02a2-46bf-936c-e3afd39ee20d,3,0.3
2d3e3b00-62f8-48fd-a80d-d15a299ed045,0e375556-7947-4dc0-a628-d1674e5d1658,1,0.3
2d3e3b00-62f8-48fd-a80d-d15a299ed045,82456e41-801e-4f90-9263-6c96d3e72160,2,0.3
2d3e3b00-62f8-48fd-a80d-d15a299ed045,52f74dd3-7131-48a6-8de2-a4f2b4b2a4ec,3,0.3
61aca849-8359-4b40-b321-176160c241a7,0e375556-7947-4dc0-a628-d1674e5d1658,1,0.3
61aca849-8359-4b40-b321-176160c241a7,82456e41-801e-4f90-9263-6c96d3e72160,2,0.3
61aca849-8359-4b40-b321-176160c241a7,52f74dd3-7131-48a6-8de2-a4f2b4b2a4ec,3,0.3
02647f9b-5108-4955-938f-e6b003b62690,8aff426d-b8c0-43aa-ad26-835ef4de6129,1,
02647f9b-5108-4955-938f-e6b003b62690,37e624be-b125-464f-85b6-1838530193ef,2,
02647f9b-5108-4955-938f-e6b003b62690,b8257184-6307-46ab-b06e-d979336d1263,3,
613608a5-2b5d-4cca-8527-5639ab76949c,8aff426d-b8c0-43aa-ad26-835ef4de6129,1,
613608a5-2b5d-4cca-8527-5639ab76949c,37e624be-b125-464f-85b6-1838530193ef,2,
613608a5-2b5d-4cca-8527-5639ab76949c,b8257184-6307-46ab-b06e-d979336d1263,3,
858b4d2a-590d-4d36-b89c-adb0cb039d22,140d30f7-f16d-4455-a448-516ab6616812,1,0.3
858b4d2a-590d-4d36-b89c-adb0cb039d22,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,2,0.3
858b4d2a-590d-4d36-b89c-adb0cb039d22,341ae37b-3e39-44f4-99f5-566fab316e0c,3,0.3
2624655e-ea07-468a-8da8-2e39c9d1e7f0,8aff426d-b8c0-43aa-ad26-835ef4de6129,1,0.3
2624655e-ea07-468a-8da8-2e39c9d1e7f0,2ab7f631-aed8-4647-a5bb-99427860d0bb,2,0.3
2624655e-ea07-468a-8da8-2e39c9d1e7f0,2c6d632d-9a47-4dae-9bc1-6e41b40eca3f,3,0.29126984126984123
b9dc4688-75e2-45ed-82ed-c33ca308f94e,269d6f1b-faa1-4fae-ab15-e71211c94cff,1,
b9dc4688-75e2-45ed-82ed-c33ca308f94e,9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,2,
b9dc4688-75e2-45ed-82ed-c33ca308f94e,9a26d7df-1335-45d4-97cd-6d7459fb2674,3,0.3
9a26d7df-1335-45d4-97cd-6d7459fb2674,269d6f1b-faa1-4fae-ab15-e71211c94cff,1,
